City,Date,Price
Munich,7 May 2025,"1,010"
Munich,8 May 2025,869 PLN
Munich,9 May 2025,869 PLN
Munich,10 May 2025,869 PLN
Munich,11 May 2025,869 PLN
Munich,12 May 2025,869 PLN
Munich,13 May 2025,869 PLN
Munich,14 May 2025,869 PLN
Munich,15 May 2025,869 PLN
Munich,16 May 2025,760 PLN
Munich,17 May 2025,760 PLN
Munich,18 May 2025,869 PLN
Munich,19 May 2025,760 PLN
Munich,20 May 2025,760 PLN
Munich,21 May 2025,681 PLN
Munich,22 May 2025,681 PLN
Munich,23 May 2025,681 PLN
Munich,24 May 2025,681 PLN
Munich,25 May 2025,681 PLN
Munich,26 May 2025,681 PLN
Munich,27 May 2025,681 PLN
Munich,28 May 2025,681 PLN
Munich,29 May 2025,681 PLN
Munich,30 May 2025,681 PLN
Munich,31 May 2025,681 PLN
Munich,1 June 2025,839 PLN
Munich,2 June 2025,869 PLN
Munich,3 June 2025,839 PLN
Munich,4 June 2025,681 PLN
Munich,5 June 2025,616 PLN
Munich,6 June 2025,616 PLN
Munich,7 June 2025,616 PLN
Munich,8 June 2025,616 PLN
Munich,9 June 2025,616 PLN
Munich,10 June 2025,616 PLN
Munich,11 June 2025,616 PLN
Munich,12 June 2025,616 PLN
Munich,13 June 2025,616 PLN
Munich,14 June 2025,616 PLN
Munich,15 June 2025,616 PLN
Munich,16 June 2025,681 PLN
Munich,17 June 2025,757 PLN
Munich,18 June 2025,616 PLN
Munich,19 June 2025,869 PLN
Munich,20 June 2025,616 PLN
Munich,21 June 2025,757 PLN
Munich,22 June 2025,869 PLN
Munich,23 June 2025,757 PLN
Munich,24 June 2025,616 PLN
Munich,25 June 2025,616 PLN
Munich,26 June 2025,757 PLN
Munich,27 June 2025,616 PLN
Munich,28 June 2025,616 PLN
Munich,29 June 2025,869 PLN
Munich,30 June 2025,757 PLN
Frankfurt,7 May 2025,"1,010"
Frankfurt,8 May 2025,869 PLN
Frankfurt,9 May 2025,869 PLN
Frankfurt,10 May 2025,869 PLN
Frankfurt,11 May 2025,869 PLN
Frankfurt,12 May 2025,869 PLN
Frankfurt,13 May 2025,869 PLN
Frankfurt,14 May 2025,869 PLN
Frankfurt,15 May 2025,869 PLN
Frankfurt,16 May 2025,760 PLN
Frankfurt,17 May 2025,760 PLN
Frankfurt,18 May 2025,"1,170"
Frankfurt,19 May 2025,"1,170"
Frankfurt,20 May 2025,760 PLN
Frankfurt,21 May 2025,681 PLN
Frankfurt,22 May 2025,681 PLN
Frankfurt,23 May 2025,681 PLN
Frankfurt,24 May 2025,681 PLN
Frankfurt,25 May 2025,801 PLN
Frankfurt,26 May 2025,681 PLN
Frankfurt,27 May 2025,681 PLN
Frankfurt,28 May 2025,681 PLN
Frankfurt,29 May 2025,681 PLN
Frankfurt,30 May 2025,681 PLN
Frankfurt,31 May 2025,681 PLN
Frankfurt,1 June 2025,760 PLN
Frankfurt,2 June 2025,869 PLN
Frankfurt,3 June 2025,681 PLN
Frankfurt,4 June 2025,681 PLN
Frankfurt,5 June 2025,681 PLN
Frankfurt,6 June 2025,681 PLN
Frankfurt,7 June 2025,681 PLN
Frankfurt,8 June 2025,681 PLN
Frankfurt,9 June 2025,"1,010"
Frankfurt,10 June 2025,681 PLN
Frankfurt,11 June 2025,681 PLN
Frankfurt,12 June 2025,681 PLN
Frankfurt,13 June 2025,681 PLN
Frankfurt,14 June 2025,805 PLN
Frankfurt,15 June 2025,681 PLN
Frankfurt,16 June 2025,681 PLN
Frankfurt,17 June 2025,681 PLN
Frankfurt,18 June 2025,869 PLN
Frankfurt,19 June 2025,869 PLN
Frankfurt,20 June 2025,681 PLN
Frankfurt,21 June 2025,681 PLN
Frankfurt,22 June 2025,869 PLN
Frankfurt,23 June 2025,681 PLN
Frankfurt,24 June 2025,681 PLN
Frankfurt,25 June 2025,681 PLN
Frankfurt,26 June 2025,681 PLN
Frankfurt,27 June 2025,681 PLN
Frankfurt,28 June 2025,681 PLN
Frankfurt,29 June 2025,869 PLN
Frankfurt,30 June 2025,616 PLN
Zurich,7 May 2025,954 PLN
Zurich,8 May 2025,"1,160"
Zurich,9 May 2025,829 PLN
Zurich,10 May 2025,992 PLN
Zurich,11 May 2025,829 PLN
Zurich,12 May 2025,992 PLN
Zurich,13 May 2025,992 PLN
Zurich,14 May 2025,829 PLN
Zurich,15 May 2025,992 PLN
Zurich,16 May 2025,829 PLN
Zurich,17 May 2025,909 PLN
Zurich,18 May 2025,829 PLN
Zurich,19 May 2025,992 PLN
Zurich,20 May 2025,875 PLN
Zurich,21 May 2025,656 PLN
Zurich,22 May 2025,785 PLN
Zurich,23 May 2025,785 PLN
Zurich,24 May 2025,785 PLN
Zurich,25 May 2025,656 PLN
Zurich,26 May 2025,785 PLN
Zurich,27 May 2025,785 PLN
Zurich,28 May 2025,656 PLN
Zurich,29 May 2025,763 PLN
Zurich,30 May 2025,656 PLN
Zurich,31 May 2025,785 PLN
Zurich,1 June 2025,954 PLN
Zurich,2 June 2025,"1,030"
Zurich,3 June 2025,819 PLN
Zurich,4 June 2025,656 PLN
Zurich,5 June 2025,707 PLN
Zurich,6 June 2025,596 PLN
Zurich,7 June 2025,707 PLN
Zurich,8 June 2025,729 PLN
Zurich,9 June 2025,707 PLN
Zurich,10 June 2025,707 PLN
Zurich,11 June 2025,596 PLN
Zurich,12 June 2025,707 PLN
Zurich,13 June 2025,707 PLN
Zurich,14 June 2025,707 PLN
Zurich,15 June 2025,707 PLN
Zurich,16 June 2025,742 PLN
Zurich,17 June 2025,742 PLN
Zurich,18 June 2025,875 PLN
Zurich,19 June 2025,763 PLN
Zurich,20 June 2025,596 PLN
Zurich,21 June 2025,742 PLN
Zurich,22 June 2025,829 PLN
Zurich,23 June 2025,742 PLN
Zurich,24 June 2025,707 PLN
Zurich,25 June 2025,707 PLN
Zurich,26 June 2025,742 PLN
Zurich,27 June 2025,707 PLN
Zurich,28 June 2025,707 PLN
Zurich,29 June 2025,829 PLN
Zurich,30 June 2025,596 PLN
